,Role,Company,Stipend,Duration,Location
7984,Business Development (Sales),Stirring Minds,"₹ 5,000-12,000 /month",6 Months,Bangalore
7985,Content Writing,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Panchkula
7986,Video Editing/Making,Tap That,"₹ 10,000-15,000 /month",3 Months,Hyderabad
7987,Social Media Marketing,Sid&co,"₹ 6,000-12,000 /month",6 Months,Pune
7988,Customer Service/Customer Support,Ayurveda House Private Limited,"₹ 10,000-12,000 /month",3 Months,Pune
7989,Graphic Design,Sorted Branding,"₹ 8,000 /month",3 Months,
7990,Digital Marketing,Pune Medical Coding Training Institute,"₹ 7,000 /month",6 Months,
7991,Founders Office Operations,Stirring Minds,"₹ 6,000-12,000 /month",6 Months,
7992,Influencer Marketer - Malayalam,Doveriye,"₹ 10,000-14,000 /month",3 Months,
7993,Creative Design,Art Of Puja,"₹ 7,000 /month",3 Months,
7994,Business Strategy,Aventus Capital,"₹ 5,000-10,000 /month",5 Months,
7995,Graphic Design,Techyguide OPC Private Limited,"₹ 5,000 /month",6 Months,
7996,Academic Counselor,English Connection,"₹ 10,000-15,000 /month",3 Months,
7997,Graphic Design,Swipe,"₹ 20,000 /month",6 Months,
7998,Business Development (Sales),TopMentor,"₹ 10,000 /month",6 Months,
7999,Search Engine Optimization (SEO),Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
8000,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
8001,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
8002,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
8003,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
8004,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
8005,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
8006,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
8007,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
8008,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
8009,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
8010,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
8011,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
8012,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
8013,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
8014,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
8015,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
8016,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
8017,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
8018,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Raipur
8019,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
8020,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Jaipur
8021,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Ludhiana
8022,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
8023,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Delhi
8024,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Raipur
8025,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Bangalore
8026,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Jaipur
8027,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Delhi
8028,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Mumbai
8029,Operations,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Pune
8030,Graphic Design,Pepmedia Services,"₹ 10,000 /month",4 Months,Delhi
8031,Graphic Design,Arch Point Consultants Private Limited,"₹ 7,000-15,000 /month",3 Months,Hyderabad
8032,Community Management,QuadB Tech,"₹ 15,000-20,000 /month",6 Months,"Delhi, Gurgaon, Noida                                                            (Hybrid)"
8033,Graphic Design,Raima Meditech Pvt Ltd,"₹ 10,000-15,000 /month",4 Months,Mumbai                                                            (Hybrid)
8034,Business Development (Sales),Stirring Minds,"₹ 5,000-12,000 /month",6 Months,Bangalore
8035,Content Writing,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Panchkula
8036,Video Editing/Making,Tap That,"₹ 10,000-15,000 /month",3 Months,Hyderabad
8037,Social Media Marketing,Sid&co,"₹ 6,000-12,000 /month",6 Months,Pune
8038,Customer Service/Customer Support,Ayurveda House Private Limited,"₹ 10,000-12,000 /month",3 Months,Pune
8039,Graphic Design,Sorted Branding,"₹ 8,000 /month",3 Months,
8040,Digital Marketing,Pune Medical Coding Training Institute,"₹ 7,000 /month",6 Months,
8041,Founders Office Operations,Stirring Minds,"₹ 6,000-12,000 /month",6 Months,
8042,Influencer Marketer - Malayalam,Doveriye,"₹ 10,000-14,000 /month",3 Months,
8043,Creative Design,Art Of Puja,"₹ 7,000 /month",3 Months,
8044,Business Strategy,Aventus Capital,"₹ 5,000-10,000 /month",5 Months,
8045,Graphic Design,Techyguide OPC Private Limited,"₹ 5,000 /month",6 Months,
8046,Academic Counselor,English Connection,"₹ 10,000-15,000 /month",3 Months,
8047,Graphic Design,Swipe,"₹ 20,000 /month",6 Months,
8048,Business Development (Sales),TopMentor,"₹ 10,000 /month",6 Months,
8049,Search Engine Optimization (SEO),Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
8050,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
8051,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
8052,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
8053,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
8054,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
8055,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
8056,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
8057,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
8058,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
8059,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
8060,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
8061,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
8062,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
8063,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
8064,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
8065,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
8066,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
8067,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
8068,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Raipur
8069,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
8070,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Jaipur
8071,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Ludhiana
8072,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
8073,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Delhi
8074,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Raipur
8075,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Bangalore
