,Role,Company,Stipend,Duration,Location
1352,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
1353,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
1354,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
1355,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
1356,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
1357,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
1358,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
1359,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
1360,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
1361,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
1362,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
1363,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
1364,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
1365,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
1366,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
1367,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
1368,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Pune
1369,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Kolkata
1370,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,"North Goa, Goa Velha, Goa"
1371,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Delhi
1372,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
1373,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Indore
1374,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Delhi                                                            (Hybrid)
1375,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Mumbai
1376,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
1377,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Gurgaon
1378,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Pune
1379,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Kolkata
1380,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,Mumbai
1381,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,Mohali
1382,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Gurgaon
1383,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,Mumbai
1384,Mechanical Engineering,Edith Defence Systems Private Limited,"₹ 10,000-12,000 /month",6 Months,Gurgaon
1385,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Pune
1386,Script Writing,Unimonks,"₹ 3,500-7,000 /month",3 Months,Pune
1387,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,Kolkata
1388,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,
1389,Apparel Design,The Gusto,"₹ 20,000 /month",3 Months,
1390,Business Development (Sales),TopMentor,"₹ 10,000 /month",6 Months,
1391,Sales,C3 CAR CARE CENTER,"₹ 15,000 /month",6 Months,
1392,Trainee - Marketing (Live Events),BookMyShow,"₹ 11,250 /month",6 Months,
1393,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,
1394,Copywriting,MoLog Media & Advertising,"₹ 10,000 /month",3 Months,
1395,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,
1396,Inside Sales,PROVEN PATH CONSULTANCY,"₹ 5,000 /month",4 Months,
1397,Search Engine Optimization (SEO),Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
1398,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
1399,Content Creation & Digital Marketing,Bonn Tonn,"₹ 8,000-12,000 /month",3 Months,
1400,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
1401,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
1402,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
1403,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
1404,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
1405,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
1406,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
1407,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
1408,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
1409,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
1410,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
1411,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
1412,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
1413,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
1414,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
1415,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
1416,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
1417,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
1418,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Pune
1419,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Kolkata
1420,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,"North Goa, Goa Velha, Goa"
1421,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Delhi
1422,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
1423,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Indore
1424,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Delhi                                                            (Hybrid)
1425,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Mumbai
1426,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
1427,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Gurgaon
1428,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Pune
1429,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Kolkata
1430,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,Mumbai
1431,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,Mohali
1432,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Gurgaon
1433,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,Mumbai
1434,Mechanical Engineering,Edith Defence Systems Private Limited,"₹ 10,000-12,000 /month",6 Months,Gurgaon
1435,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Pune
1436,Script Writing,Unimonks,"₹ 3,500-7,000 /month",3 Months,Pune
1437,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,Kolkata
1438,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,
1439,Apparel Design,The Gusto,"₹ 20,000 /month",3 Months,
1440,Business Development (Sales),TopMentor,"₹ 10,000 /month",6 Months,
1441,Sales,C3 CAR CARE CENTER,"₹ 15,000 /month",6 Months,
1442,Trainee - Marketing (Live Events),BookMyShow,"₹ 11,250 /month",6 Months,
1443,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,
1444,Copywriting,MoLog Media & Advertising,"₹ 10,000 /month",3 Months,
1445,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,
1446,Inside Sales,PROVEN PATH CONSULTANCY,"₹ 5,000 /month",4 Months,
1447,Search Engine Optimization (SEO),Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
1448,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
1449,Content Creation & Digital Marketing,Bonn Tonn,"₹ 8,000-12,000 /month",3 Months,
1450,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
1451,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
1452,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
1453,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
1454,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
1455,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
1456,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
1457,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
1458,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
1459,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
1460,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
1461,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
1462,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
1463,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
1464,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
1465,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
1466,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
1467,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
1468,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Pune
1469,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Kolkata
1470,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,"North Goa, Goa Velha, Goa"
1471,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Delhi
1472,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
1473,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Indore
1474,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Delhi                                                            (Hybrid)
1475,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Mumbai
1476,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
1477,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Gurgaon
1478,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Pune
1479,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Kolkata
1480,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,Mumbai
1481,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,Mohali
1482,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Gurgaon
1483,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,Mumbai
1484,Mechanical Engineering,Edith Defence Systems Private Limited,"₹ 10,000-12,000 /month",6 Months,Gurgaon
1485,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Pune
1486,Script Writing,Unimonks,"₹ 3,500-7,000 /month",3 Months,Pune
1487,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,Kolkata
1488,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,
1489,Apparel Design,The Gusto,"₹ 20,000 /month",3 Months,
1490,Business Development (Sales),TopMentor,"₹ 10,000 /month",6 Months,
1491,Sales,C3 CAR CARE CENTER,"₹ 15,000 /month",6 Months,
1492,Trainee - Marketing (Live Events),BookMyShow,"₹ 11,250 /month",6 Months,
1493,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,
1494,Copywriting,MoLog Media & Advertising,"₹ 10,000 /month",3 Months,
1495,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,
1496,Inside Sales,PROVEN PATH CONSULTANCY,"₹ 5,000 /month",4 Months,
1497,Search Engine Optimization (SEO),Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
1498,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
1499,Content Creation & Digital Marketing,Bonn Tonn,"₹ 8,000-12,000 /month",3 Months,
1500,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
1501,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
1502,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
1503,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
1504,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
1505,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
1506,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
1507,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
1508,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
1509,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
1510,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
1511,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
1512,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
1513,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
1514,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
1515,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
1516,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
1517,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
1518,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Pune
1519,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Kolkata
1520,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,"North Goa, Goa Velha, Goa"
1521,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Delhi
1522,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
1523,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Indore
1524,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Delhi                                                            (Hybrid)
1525,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Mumbai
1526,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
1527,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Gurgaon
1528,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Pune
1529,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Kolkata
1530,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,Mumbai
1531,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,Mohali
1532,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Gurgaon
1533,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,Mumbai
1534,Mechanical Engineering,Edith Defence Systems Private Limited,"₹ 10,000-12,000 /month",6 Months,Gurgaon
1535,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Pune
1536,Script Writing,Unimonks,"₹ 3,500-7,000 /month",3 Months,Pune
1537,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,Kolkata
1538,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,
1539,Apparel Design,The Gusto,"₹ 20,000 /month",3 Months,
1540,Business Development (Sales),TopMentor,"₹ 10,000 /month",6 Months,
1541,Sales,C3 CAR CARE CENTER,"₹ 15,000 /month",6 Months,
1542,Trainee - Marketing (Live Events),BookMyShow,"₹ 11,250 /month",6 Months,
1543,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,
1544,Copywriting,MoLog Media & Advertising,"₹ 10,000 /month",3 Months,
1545,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,
1546,Inside Sales,PROVEN PATH CONSULTANCY,"₹ 5,000 /month",4 Months,
1547,Search Engine Optimization (SEO),Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
1548,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
1549,Content Creation & Digital Marketing,Bonn Tonn,"₹ 8,000-12,000 /month",3 Months,
1550,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
1551,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
1552,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
1553,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
1554,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
1555,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
1556,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
1557,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
1558,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
1559,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
1560,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
1561,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
1562,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
1563,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
1564,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
1565,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
1566,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
1567,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
1568,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Pune
1569,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Kolkata
1570,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,"North Goa, Goa Velha, Goa"
1571,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Delhi
1572,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
1573,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Indore
1574,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Delhi                                                            (Hybrid)
1575,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Mumbai
1576,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
1577,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Gurgaon
1578,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Pune
1579,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Kolkata
1580,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,Mumbai
1581,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,Mohali
1582,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Gurgaon
1583,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,Mumbai
1584,Mechanical Engineering,Edith Defence Systems Private Limited,"₹ 10,000-12,000 /month",6 Months,Gurgaon
1585,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Pune
1586,Script Writing,Unimonks,"₹ 3,500-7,000 /month",3 Months,Pune
1587,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,Kolkata
1588,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,
1589,Apparel Design,The Gusto,"₹ 20,000 /month",3 Months,
1590,Business Development (Sales),TopMentor,"₹ 10,000 /month",6 Months,
1591,Sales,C3 CAR CARE CENTER,"₹ 15,000 /month",6 Months,
1592,Trainee - Marketing (Live Events),BookMyShow,"₹ 11,250 /month",6 Months,
1593,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,
1594,Copywriting,MoLog Media & Advertising,"₹ 10,000 /month",3 Months,
1595,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,
1596,Inside Sales,PROVEN PATH CONSULTANCY,"₹ 5,000 /month",4 Months,
1597,Search Engine Optimization (SEO),Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
1598,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
1599,Content Creation & Digital Marketing,Bonn Tonn,"₹ 8,000-12,000 /month",3 Months,
1600,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
1601,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
1602,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
1603,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
1604,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
1605,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
1606,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
1607,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
1608,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
1609,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
1610,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
1611,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
1612,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
1613,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
1614,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
1615,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
1616,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
1617,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
1618,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Pune
1619,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Kolkata
1620,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,"North Goa, Goa Velha, Goa"
1621,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Delhi
1622,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
1623,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Indore
1624,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Delhi                                                            (Hybrid)
1625,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Mumbai
1626,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
1627,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Gurgaon
1628,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Pune
1629,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Kolkata
1630,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,Mumbai
1631,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,Mohali
1632,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Gurgaon
1633,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,Mumbai
1634,Mechanical Engineering,Edith Defence Systems Private Limited,"₹ 10,000-12,000 /month",6 Months,Gurgaon
1635,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Pune
1636,Script Writing,Unimonks,"₹ 3,500-7,000 /month",3 Months,Pune
